Country ISO code;BvD ID number;NACE Rev. 2 primary code;GUO - Country ISO code;GUO - BvD ID number;Result OP Revenue;Result - EMPl;Result - assets;Result P/L
DE;DE2230035267;4520;DE;DE2230002720;2912686;9;19747;176377
DE;DE2230062040;4510;DE;DE2230002720;42037566;74;2933844;1781554
DE;DE2230096733;4510;DE;DE2230002720;4630923;7;206074;138879
DE;DE2230118659;7021;DE;DE2230002720;163168;19;935;6699
DE;DE2230120135;4532;DE;DE2230002720;12357244;15;581861;209187
DE;DE2270021162;8299;DE;DE2230002720;1092053;8;96300;5693
PL;PL830350826;4690;DE;DE2230075729;6223442;100;1440316;-724972
PL;PL008404932;4690;DE;DE2230079251;15765065;100;23963;151115
PL;PL210029509;6820;DE;DE2230079251;1419649;40;7348124;222165
PL;PL930754160;4690;DE;DE2230079251;37925656;120;934691;154529
DE;DE2151008106;7311;DE;DE2230113504;7513431;58;429184;616228
DE;DE2230163232;6201;DE;DE2230140962;179337;3;1361;7151
DE;DE2230003737;1812;DE;DE2230237112;5276610;42;1872085;111404
DE;DE2250311812;1812;DE;DE2250004846;1004021;19;248227;190394
DE;DE2250318877;5813;DE;DE2250004846;7285238;21;261460;108379
PL;PL810471161;2312;DE;DE2250009055;396422;23;536860;24189
DE;DE2250253008;7010;DE;DE2250009136;352;2;1;-3430
PL;PL978111713;2361;DE;DE2250009136;1773777;80;285518;-720537
DE;DE2250245902;4641;DE;DE2250010375;19303058;7;981411;307645
DE;DE2250229236;8010;DE;DE2250017377;732129;15;38627;90237
DE;DE4010001157;4711;DE;DE2250062636;280456595;2288;17728585;428287
DE;DE2250182247;4399;DE;DE2250103026;62876934;334;10473847;3135211
PT;PT510809154;5020;DE;DE2250110674;354204;2;35028;-10318
PL;PL519453694;1012;DE;DE2250144505;9299701;13;6741;3288
DE;DE2250041896;4661;DE;DE2250239681;5771386;8;103700;937188
DE;DE2250356477;4759;DE;DE2250367407;1857127;5;25730;95665
