Country ISO code;BvD ID number;NACE Rev. 2 primary code;GUO - Country ISO code;GUO - BvD ID number;Result OP Revenue;Result - EMPl;Result - assets;Result P/L
FR;FR873500037;4511;n.a.;WW*20329625;29592389;44;148517;213987
FR;FR392433504;4321;n.a.;WW*20336978;643000;3;106;1143
FR;FR514157494;7820;n.a.;WW*20337392;3082000;1;164187;118022
FR;FR392920716;7732;n.a.;WW*20339535;5810050;1;1107273;131484
FR;FR435185079;4399;n.a.;WW*20339535;2508431;1;1704606;257967
FR;FR393148978;4332;n.a.;WW*20340847;3555379;15;21030;133921
FR;FR465500239;4673;n.a.;WW*20341177;12794000;37;1246806;365229
FR;FR385082946;4741;n.a.;WW*20342727;2266882;14;18869;83510
FR;FR512465667;6202;n.a.;WW*20342727;4026314;24;62143;202396
FR;FR521721639;6202;n.a.;WW*20342727;638450;3;1145;73997
FR;FR752739185;6202;n.a.;WW*20342727;2422011;18;34705;177253
FR;FR322150806;4634;n.a.;WW*20343320;147615;1;1;-19993
FR;FR957525314;5610;n.a.;WW*20343704;2290043;1;67821;495578
FR;FR330035064;4511;n.a.;WW*20344291;45000000;92;3216803;1020643
FR;FR345258750;4520;n.a.;WW*20344291;688000;5;85771;-4374
FR;FR377894100;4511;n.a.;WW*20344291;37231000;1;498028;104593
FR;FR560802282;4771;n.a.;WW*20344555;1182851;11;249656;-68558
FR;FR393997382;4764;n.a.;WW*20346061;1181326;4;34513;23279
FR;FR442004362;4778;n.a.;WW*20346061;1991984;2;34086;33351
FR;FR443757240;4778;n.a.;WW*20346061;821068;5;71061;3186
FR;FR482743291;2229;n.a.;WW*20346061;1993427;11;353159;-156124
FR;FR337848535;6420;n.a.;WW*20346526;3293;325;1496174;83209
FR;FR402600589;7911;n.a.;WW*20346526;690000;1;483;2127
FR;FR334109006;4939;n.a.;WW*20349219;1165924;10;787123;21676
FR;FR915720874;4939;n.a.;WW*20349219;1430000;19;1176361;-44078
FR;FR419411525;4618;n.a.;WW*20349247;574000;8;1;2298
FR;FR434739496;1061;n.a.;WW*20350287;40800000;130;8304913;662242
FR;FR395205362;2511;n.a.;WW*20352372;1483678;1;8569;84267
FR;FR429023922;5610;n.a.;WW*20356814;205000;1;16607;-2357
