GUO;Country ISO code
KY40347WB;NL
KY40367WB;PL
KY90041FH;GB
KYD044073468;LU
KYD044216468;GB
KYD044224868;ES
KYD044363468;GB
KYD044515468;DK
KYD044725968;GB
KYD044753668;LU
KYD044929268;GB
KYD144017568;FR
KYD144220568;FR
KYD144532368;GB
KYD144672768;GB
KYD144754868;GB
KYD244393968;GB
KYD440914468D;IE
KYD555260618;GB
KYD708514468D;GB
KYD834715468;GB
KYD934848268;GB
KYD934977468;IE
KYD957214468D;IE
KYD993267368;FR
KYFEI1014502;GB
KYFEI1015370;GB
KYIA8054883130617;FR
KYIA8055062474739;FR
KYIA8056291352403;GB
KYLEI339999;GB
KZ*I0005166997;NL
LB*1049351908;FR
LB*1141754961;FR
LB*915293880;GB
LB*B000026049;GB
LBCP0000143446;DE
LI*110000075044;AT
LI*110005207391;DE
LI*1590594502;SI
LI*B000017660;GB
LI*B000064690;GB
LI*B000072708;GB
LI*B000080797;GB
LI*I0005112252;AT
LIFL00010516380;GB
LIFL00010590577;GB
LIFL00015211407;GB
LIFL00024578003;GB
LK0000026565;GB
LR0000025718;GB
LR30002MX;ES
LY*1141758596;FR
MA*1041006448;FR
MA*1045336440;FR
MA*1140568611;FR
MA*1141764921;FR
MA*1144205788;FR
MA*1144237955;FR
MA*1145540550;FR
MA*1146772616;FR
MA*1146785228;FR
MA*1146956836;FR
MA*1151838243;FR
MA*915292657;FR
MA2-184953;FR
MC*110008151771;FR
MC*110008153772;FR
MC*110008737197;AT
MC*110013212712;SK
MC*110020076580;PL
MC*1590059129;DE
MC*865124894;GB
MCP003279756;GB
ME*110014698903;CZ
MH*B000037764;GB
MH30314EG;BE
MH40001AQ;NL
MN*110020152956;CZ
MU*B000080702;GB
MU*B000087422;GB
MU0000028994;GB
MX*110005770547;DE
MX*918499502;GB
MX30001LM;FR
MX30020LM;BE
MX30040LM;ES
MX30132LM;DE
MX30192LM;AT
MX54179IM;DE
MY*110000589223;GB
MY*903059311;GB
MY*B000081635;GB
MY15043-V;GB
MY2-42839;GB
MY3809-W;GB
MY63611-U;DE
MY662315-U;GB
MY670633-M;GB
MY733607-W;GB
MY7802-V;GB
MY7916-A;GB
MY9109-K;GB
MY92647-H;GB
NG30008KN;NL
NG30057KN;DE
NO*110006795261;LV
NO*110006873726;LU
NO*110006901978;LV
NO*110014967931;GB
NO*110015513551;NL
NO*110018510445;EE
NO*110020088326;PL
NO*410003226;SE
NO*410003280;NL
NO*410006073;LV
NO*410011807;FI
NO*410036046;EE
NO*410041261;DK
NO*410103906;SE
NO*410118224;PL
NO*410138776;PL
NO*410274519;SE
NO*410293560;GB
NO*410368358;EE
NO*410405523;GB
NO*410477893;SE
NO*410547011;SE
NO*410631141;SE
NO*410736547;SE
NO*412356958;SE
NO*412869436;DK
NO*413235818;SE
NO*414588658;SE
NO*415024701;SE
NO*416289350;SE
NO*416424465;SE
NO*417567116;DK
NO*417729310;GB
NO*417750930;DK
NO*417832804;PL
NO*418035698;SE
NO*418349753;GB
NO*418705261;SE
NO*418909635;SE
NO*450092033;EE
NO*B000080940;GB
NO*I0005111127;GB
NO830357432;GB
NO831758562;SE
NO837897912;DK
NO841150732;SE
NO860930692;SE
NO862353722;DK
NO876290332;SE
NO883540042;SE
NO888395652;NL
NO891313322;LV
NO899286952;AT
NO910261525;ES
NO910323687;NL
NO910747711;SE
NO911177781;GB
NO911750961;FR
NO912609987;DK
NO913461630;SE
NO913520785;DE
NO914245583;SE
NO914348803;SE
NO914769922;SE
NO914778271;DE
NO916235291;GB
NO916300484;SE
NO917103801;SE
NO920237126;LT
NO920639674;SE
NO927124238;DE
NO930192503;NL
NO931031686;ES
NO932142104;SE
NO933084337;SE
NO933739384;SE
NO934021592;GB
NO935243440;SE
NO936648657;SE
NO937052766;SE
NO937305354;FR
NO938455384;DK
NO938702675;SE
NO938752648;GB
NO942593821;DE
NO943184097;SE
NO943753709;GB
NO945883294;GB
NO946743348;SE
NO947589997;GB
NO955672828;DK
NO955906012;SE
NO958737122;SE
NO963865724;SE
NO964118191;PL
NO964176442;SE
NO965678948;FR
NO966849029;EE
NO967132764;FI
NO967523720;SE
NO971125756;SE
NO972417904;SE
NO974271427;SE
NO974442167;SE
NO976270665;SE
NO976692667;NL
NO977028442;EE
NO979984731;DE
NO980111741;SE
NO980211789;SE
NO980279286;IE
NO980400689;NL
NO981276957;SE
NO981371593;SE
NO981398076;SE
NO981704436;PL
NO981952324;DK
NO982075173;SE
NO982769221;SE
NO983733506;GB
NO984387512;SE
NO984391390;EE
NO984602189;SE
NO985096546;SE
NO986228608;DE
NO986246134;SE
NO986372784;SE
NO986379126;SE
NO986379185;FI
NO987888954;PL
NO987989297;DK
NO988340782;SE
NO988788945;NL
NO988880752;DK
NO989087177;DE
NO989150944;PT
